names,scores,logfoldchanges,pvals,pvals_adj,comparison,ref_group,target_group
Xist,-0.23472548,-0.12615095,0.8144218141087558,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Sgms1,-0.23820885,-0.9809904,0.8117191183167977,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Dmp1,-0.24115631,-24.188126,0.8094339715387895,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Fhit,-0.24115631,-24.273113,0.8094339715387895,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Vav3,-0.24115631,-24.188942,0.8094339715387895,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Man2b1,-0.24115631,-24.142662,0.8094339715387895,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
1700113A16Rik,-0.24115631,-24.278587,0.8094339715387895,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Pard3b,-0.24115631,-24.186766,0.8094339715387895,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Rfx3,-0.24705124,-0.9967106,0.8048685677653276,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Pou2f1,-0.2499987,-0.5893095,0.8025883480685592,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Sorbs1,-0.25080258,-24.159105,0.8019667606873515,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Abtb2,-0.25455388,-1.1839226,0.7990676824606437,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Ehbp1,-0.2550898,-1.3744439,0.7986537534199913,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Prdm5,-0.2550898,-1.249315,0.7986537534199913,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Pla2g3,-0.2604488,-24.300476,0.7945175933199988,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Dao,-0.2604488,-24.445578,0.7945175933199988,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Hba-a1,-0.2604488,-24.663393,0.7945175933199988,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
P4ha3,-0.2604488,-24.241636,0.7945175933199988,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Cdh10,-0.26580784,-1.0343482,0.7903872022361444,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Eepd1,-0.27009508,-24.281212,0.787087117271122,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Ipmk,-0.27009508,-24.359575,0.787087117271122,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Robo1,-0.27009508,-24.24177,0.787087117271122,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Nbl1,-0.2754541,-0.4931857,0.7829673883113264,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Shroom3,-0.27974132,-24.659649,0.7796759752756677,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
4930523C07Rik,-0.27974132,-24.250776,0.7796759752756677,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Rgs5,-0.27974132,-24.545332,0.7796759752756677,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Nr3c2,-0.27974132,-24.314363,0.7796759752756677,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Efna5,-0.27974132,-24.367773,0.7796759752756677,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Cdkn1a,-0.28081313,-2.0249257,0.7788537362565681,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Tcn2,-0.28188494,-0.7415623,0.7780317446753562,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Rgs12,-0.28295675,-1.0755496,0.7772100014015628,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Grn,-0.2864401,-0.70861924,0.7745410611281801,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Ptpn4,-0.28751191,-1.7395264,0.773720382842202,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Prss56,-0.28938758,-24.76571,0.7722848048029924,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Col1a1,-0.28938758,-24.493727,0.7722848048029924,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Crym,-0.28938758,-25.183588,0.7722848048029924,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Vwa1,-0.29153118,-0.914673,0.7706450983457769,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Phf21a,-0.2942107,-0.949852,0.7685969066167109,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Cck,-0.29903382,-24.665684,0.7649142378931038,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Mamdc2,-0.29903382,-24.491306,0.7649142378931038,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Robo2,-0.29903382,-24.429787,0.7649142378931038,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Amot,-0.29903382,-24.42844,0.7649142378931038,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Cmtm6,-0.3019813,-1.3605322,0.7626663259894217,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Fut8,-0.30385694,-0.67701495,0.7612368767623727,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Hmgcs2,-0.3086801,-24.451437,0.757564900995361,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Ucp3,-0.3086801,-24.734358,0.757564900995361,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Ltbp1,-0.3086801,-24.529825,0.757564900995361,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Ttll3,-0.3086801,-24.600424,0.757564900995361,1.0,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
