names,scores,logfoldchanges,pvals,pvals_adj,comparison,ref_group,target_group
Dpf3,0.7553312,4.0727425,0.45005028781403955,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Srxn1,0.7518115,2.0878904,0.45216444033805603,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Pde4b,0.744772,1.2190713,0.4564095392857891,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Arhgap24,0.7349168,4.1475377,0.46239014482459173,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Ptk7,0.73350894,1.7733698,0.4632480721198179,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Pde10a,0.73069316,2.0904112,0.46496658523258905,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Ust,0.7292853,3.4510477,0.465827169469496,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Cadps,0.7264695,2.9166415,0.467550989320316,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Rabgap1,0.7257656,1.3012611,0.46798249606788933,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Eya1,0.72506166,2.9462273,0.46841422332764027,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Atp1b2,0.7222459,0.4181322,0.47014333545721154,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Kcnd3,0.70605516,3.5353715,0.4801538361659662,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Camk2a,0.70605516,3.001854,0.4801538361659662,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Pde1b,0.7018315,2.833828,0.4827842526995325,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
St7,0.6842329,1.6280107,0.49382810058424154,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Slc39a11,0.6842329,3.1686835,0.49382810058424154,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Fign,0.68000925,2.6848552,0.4964986005455364,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Gfra1,0.6786014,2.5314398,0.4973904753630779,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Usp3,0.6666343,1.5961591,0.505005733713521,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Gpd1,0.6610028,3.2126648,0.5086105272047328,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Fos,0.6602988,0.14297727,0.5090620729745474,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Ext1,0.65818703,2.6151242,0.5104179693769049,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Sacs,0.65537125,2.358739,0.5122287643952084,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Nfasc,0.6546673,2.0167868,0.5126819860767728,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Ttc28,0.6419963,1.0517567,0.5208755752232457,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Phgdh,0.6377727,2.880654,0.5236216819555182,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Gtdc1,0.63636476,2.4388192,0.5245386983591215,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Cd24a,0.633549,2.505076,0.5263751959322459,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Sh3d19,0.63284504,0.9871944,0.5268348330267245,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Eps8,0.62087804,1.8388748,0.5346798868923823,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Afap1l2,0.6152465,0.73713017,0.5383919635994705,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Chst2,0.5969439,1.3343201,0.550544807770736,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Dennd1a,0.5617468,1.1727635,0.5742885595278,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Rfx4,0.55189157,25.339113,0.5810226446673774,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Cntn4,0.55189157,25.317276,0.5810226446673774,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Anln,0.55189157,24.846003,0.5810226446673774,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
2900079G21Rik,0.55189157,25.09803,0.5810226446673774,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Nkain3,0.55189157,25.416498,0.5810226446673774,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Ndc80,0.55189157,25.37898,0.5810226446673774,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Ncam2,0.55189157,25.222767,0.5810226446673774,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Astn2,0.55189157,25.049372,0.5810226446673774,1.0,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
