names,scores,logfoldchanges,pvals,pvals_adj,comparison,ref_group,target_group
Zdhhc24,-0.14716367,-1.3930781,0.8830028355035981,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Zswim6,-0.15689933,-0.7561736,0.8753241880490936,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Arhgef33,-0.16592951,-21.988237,0.8682124260865273,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Rims1,-0.16592951,-22.042622,0.8682124260865273,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Tmprss7,-0.16592951,-22.360188,0.8682124260865273,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Fibcd1,-0.16592951,-22.237286,0.8682124260865273,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Veph1,-0.16592951,-22.201195,0.8682124260865273,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Zfpm2,-0.17354871,-0.8101813,0.8622201364934929,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Lag3,-0.17368981,-1.3974757,0.8621092418032954,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Ttc23,-0.17425421,-1.0084689,0.8616656902405752,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
En1,-0.1743953,-1.9885354,0.8615548091601163,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Calb1,-0.17453639,-2.412056,0.8614439308080268,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Elfn1,-0.17453639,-2.6659806,0.8614439308080268,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Arhgap24,-0.17495969,-1.7290736,0.8611113121433766,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Fastkd3,-0.18187341,-0.9490116,0.8556820692266169,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Unc5c,-0.18243779,-1.1368716,0.8552391635376914,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Anks1,-0.18603577,-1.1232113,0.8524167175055102,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Pkib,-0.19175017,-0.7934661,0.8479379049950252,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Olfm3,-0.19358443,-22.139374,0.8465012946099597,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Calr4,-0.19358443,-22.5195,0.8465012946099597,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Grik2,-0.19358443,-22.355316,0.8465012946099597,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Cbln3,-0.19358443,-22.320913,0.8465012946099597,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Ust,-0.20162693,-1.435024,0.8402083932031421,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Fgd2,-0.20169747,-1.670821,0.8401532368554652,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Cdh13,-0.20169747,-1.7960249,0.8401532368554652,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Zfp182,-0.20254405,-2.7600834,0.8394914219758944,1.0,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
