names,scores,logfoldchanges,pvals,pvals_adj,comparison,ref_group,target_group
Lyn,4.5991974,2.4895492,4.241221406773498e-06,3.262478005210383e-05,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Tbxas1,4.5902166,6.777451,4.427867071604465e-06,3.3930015874363715e-05,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Adrb2,4.5773573,3.9607587,4.708863301353539e-06,3.594552138437816e-05,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Ppp1r15a,4.480814,1.682613,7.435897814844036e-06,5.5080724554400264e-05,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Blnk,4.4005985,27.412062,1.079525793784676e-05,7.8311538556022e-05,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Fermt3,4.240577,27.375935,2.2294594794623107e-05,0.00015536302992768717,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Tmem173,4.2377195,3.9731264,2.2580166841233697e-05,0.000156806714175234,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Syngr2,4.055654,1.7708501,4.9994248316192996e-05,0.00034360308121094844,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Atf3,4.04851,2.2075608,5.154472367174673e-05,0.0003530460525462105,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Cd86,3.9205334,27.165955,8.835317341903499e-05,0.0005793650716002294,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Tmem100,3.8946116,1.7955117,9.835622230800037e-05,0.0006407571485863217,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Tsc22d4,3.813376,1.5287776,0.00013708131513023384,0.0008843955814853795,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Pde3b,3.6004899,27.102663,0.0003176181722144186,0.001978929421896689,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Slc29a3,3.4220982,3.4207745,0.000621398487524517,0.0036988005209792675,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Rps6,3.3776023,0.381928,0.0007312071559207636,0.0043266695616613225,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Thrsp,3.3539257,3.1833167,0.0007967374335951135,0.004700515832419549,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
C3ar1,3.2804463,26.852987,0.0010364297460039985,0.00606099266669005,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Mertk,3.2371752,2.1594718,0.0012071929164229104,0.0069779937365486155,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Slamf8,3.2004354,26.988136,0.0013722009574091217,0.007908939235787445,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Btg2,3.1416519,0.95763206,0.0016799760821441096,0.009572513288570426,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Lyz2,3.1049123,3.7129023,0.0019033547491099894,0.010814515619943123,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Ccl2,2.8558989,5.6463046,0.004291519137840536,0.022888102068482855,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Ubash3b,2.837529,4.434681,0.004546422481454586,0.0241830983056095,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Entpd1,2.7787454,2.7837195,0.005456927171668954,0.0284214956857758,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Tcn2,2.6015785,0.9328143,0.009279583313969782,0.04734481282637643,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Maf,2.5405498,1.5480232,0.011067834374822538,0.055510257150893076,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Ptpro,2.5021772,5.4157743,0.012343213166948737,0.06110501567796404,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Lpar6,2.4789088,1.3391924,0.013178502778252438,0.06507902606544413,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
H2-DMa,2.4731936,4.504184,0.013391155739748818,0.06596628443226019,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Etv5,2.4470677,3.7052078,0.014402380310432712,0.07025551370942787,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Rpl9,2.3013334,0.1466181,0.02137278555552484,0.10129282253803241,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Aim2,2.2421417,4.6934404,0.02495220863309008,0.1141977511811903,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Csmd3,2.2403047,26.336414,0.025071140283296975,0.1144800926177944,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Egr1,2.1372297,0.9766811,0.03257932367526161,0.14675371024892617,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Id2,2.1000817,1.2091498,0.03572165805888669,0.159471687762887,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Cfh,1.9929242,0.8983887,0.046269745104792585,0.2016110897812313,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Slc11a1,1.9827187,3.4154787,0.04739885338565751,0.20563493876641,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Cd164,1.8741325,1.3303645,0.060912157598065404,0.258102362703667,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Il16,1.8690298,7.0037622,0.06161866612311447,0.25999437182748725,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Cd74,1.8690298,6.3169994,0.06161866612311447,0.25999437182748725,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Fchsd2,1.8439244,1.9656163,0.06519416433441953,0.2727789302695378,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
March1,1.8071847,4.074909,0.07073349072073143,0.29411014852694983,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Tnfaip3,1.7679957,2.2587092,0.07706162886954046,0.31712604473061917,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Dusp2,1.7096204,2.1252604,0.08733609592613775,0.3480123302186329,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Ier3,1.7094163,0.7420224,0.0873738705805044,0.3480123302186329,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Ccr1,1.7085998,5.886378,0.08752510104998618,0.3480123302186329,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Ankrd44,1.6263437,2.0543737,0.10387655282586418,0.40418892150141705,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Slc46a1,1.5251055,3.3458173,0.12723279293825557,0.47921955908947483,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Dock2,1.5202068,25.630432,0.12845899762239454,0.48292856249020505,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Xist,1.4987754,0.39577875,0.13393191951743838,0.4988153427092677,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
