names,scores,logfoldchanges,pvals,pvals_adj,comparison,ref_group,target_group
Rpl27,8.650925,1.328772,5.108384193725252e-18,6.045425081331659e-17,astrocyte_vs_microglial cell,astrocyte,microglial cell
Ccl4,8.615348,9.2935295,6.972928029687285e-18,8.20344474080857e-17,astrocyte_vs_microglial cell,astrocyte,microglial cell
Ccl3,8.5398035,9.789722,1.3445016229309077e-17,1.5633739801522184e-16,astrocyte_vs_microglial cell,astrocyte,microglial cell
Lair1,8.514856,4.7129207,1.6679705174889687e-17,1.9282896155941837e-16,astrocyte_vs_microglial cell,astrocyte,microglial cell
Ptgs1,8.373166,3.0556784,5.609050610231934e-17,6.337910294047384e-16,astrocyte_vs_microglial cell,astrocyte,microglial cell
Susd3,8.372288,28.266588,5.651033327909345e-17,6.349475649336343e-16,astrocyte_vs_microglial cell,astrocyte,microglial cell
Anxa3,8.355334,9.526899,6.524786858306081e-17,7.290264646152047e-16,astrocyte_vs_microglial cell,astrocyte,microglial cell
Ppp1r15a,8.315366,4.2685876,9.146992516452082e-17,1.0163325018280093e-15,astrocyte_vs_microglial cell,astrocyte,microglial cell
Lag3,8.184041,5.7496486,2.744813778473092e-16,3.0329434016277262e-15,astrocyte_vs_microglial cell,astrocyte,microglial cell
Itgb5,8.027505,2.0012572,9.947493185145049e-16,1.0754046686643296e-14,astrocyte_vs_microglial cell,astrocyte,microglial cell
Slc2a5,7.9648733,8.285012,1.6539337029503758e-15,1.7689130512838244e-14,astrocyte_vs_microglial cell,astrocyte,microglial cell
Itgam,7.9071603,28.14313,2.6332606954350276e-15,2.7865192544286007e-14,astrocyte_vs_microglial cell,astrocyte,microglial cell
P2ry6,7.814135,28.179192,5.534172658636951e-15,5.825444903828369e-14,astrocyte_vs_microglial cell,astrocyte,microglial cell
Ptpn6,7.4420333,28.012617,9.914714745741599e-14,1.011705586300163e-12,astrocyte_vs_microglial cell,astrocyte,microglial cell
Egr1,7.331088,4.4879484,2.282915734019325e-13,2.317680948242969e-12,astrocyte_vs_microglial cell,astrocyte,microglial cell
Pla2g15,7.1631327,4.4422913,7.885387548435221e-13,7.925012611492685e-12,astrocyte_vs_microglial cell,astrocyte,microglial cell
Ier3,6.93685,5.2616673,4.0093902611694734e-12,4.009390261169473e-11,astrocyte_vs_microglial cell,astrocyte,microglial cell
Syngr2,6.8920503,3.408186,5.499393384837273e-12,5.418121561416032e-11,astrocyte_vs_microglial cell,astrocyte,microglial cell
Atf3,6.8375,7.688497,8.058711817160232e-12,7.900697859961013e-11,astrocyte_vs_microglial cell,astrocyte,microglial cell
Itgb2,6.69783,27.881027,2.115370592406704e-11,2.02427807885809e-10,astrocyte_vs_microglial cell,astrocyte,microglial cell
Lyn,6.6651525,4.081042,2.643905437776716e-11,2.518005178834968e-10,astrocyte_vs_microglial cell,astrocyte,microglial cell
Mafb,6.4096184,4.2851605,1.458845420994571e-10,1.363406935508945e-09,astrocyte_vs_microglial cell,astrocyte,microglial cell
Tmsb10,6.3882723,1.7028126,1.677703037737959e-10,1.5534287386462584e-09,astrocyte_vs_microglial cell,astrocyte,microglial cell
Rps6ka1,6.249569,5.4089727,4.1158749260933246e-10,3.758789886843219e-09,astrocyte_vs_microglial cell,astrocyte,microglial cell
Mpeg1,6.213729,8.901911,5.174175153203175e-10,4.703795593821068e-09,astrocyte_vs_microglial cell,astrocyte,microglial cell
Ncf1,6.0466523,27.643274,1.4788658563165654e-09,1.3263370908668747e-08,astrocyte_vs_microglial cell,astrocyte,microglial cell
Tcn2,5.9592485,2.0589464,2.5340028483064583e-09,2.2524469762724073e-08,astrocyte_vs_microglial cell,astrocyte,microglial cell
Adrb2,5.8606014,27.60011,4.611940891992949e-09,4.0278959755396936e-08,astrocyte_vs_microglial cell,astrocyte,microglial cell
Ccl12,5.8606014,27.845253,4.611940891992949e-09,4.0278959755396936e-08,astrocyte_vs_microglial cell,astrocyte,microglial cell
Cd300a,5.7675757,27.506243,8.041987836348753e-09,6.958080047221658e-08,astrocyte_vs_microglial cell,astrocyte,microglial cell
Fos,5.766961,2.8059993,8.071372854777122e-09,6.958080047221658e-08,astrocyte_vs_microglial cell,astrocyte,microglial cell
Lpar6,5.648373,4.045869,1.6197312129093833e-08,1.3784946492845817e-07,astrocyte_vs_microglial cell,astrocyte,microglial cell
Ccl9,5.581525,27.52228,2.3841870966672534e-08,2.003518568627944e-07,astrocyte_vs_microglial cell,astrocyte,microglial cell
Klf2,5.5409417,5.0943704,3.008493373190117e-08,2.4966749984980223e-07,astrocyte_vs_microglial cell,astrocyte,microglial cell
